customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
QG25316,nevada,f,high school or below,265206,0,70,1,Corporate Auto,two-door car,484
MB98372,oregon,f,college,277104,50071,71,0,Corporate Auto,two-door car,18
IL19217,california,f,bachelor,393900,60021,99,0,Personal Auto,four-door car,882
SR38658,arizona,f,high school or below,1223187,43244,103,0,Personal Auto,luxury,494
YD87931,washington,m,doctor,495165,46896,35354,1,Personal Auto,four-door car,31
HG65722,oregon,f,doctor,1281910,10105,172,3,Personal Auto,suv,0
BU27331,arizona,f,bachelor,446851,0,73,3,Personal Auto,four-door car,579
XM45289,oregon,f,high school or below,551434,23218,71,0,Personal Auto,two-door car,447
KP34198,california,f,bachelor,334387,0,92,0,Corporate Auto,four-door car,529
SH90947,arizona,f,high school or below,229447,0,62,0,Personal Auto,four-door car,313
WE95729,oregon,f,college,3670742,24804,104,0,Personal Auto,suv,593
PY51963,california,f,bachelor,3347334,33190,106,0,Corporate Auto,suv,508
RB69909,nevada,f,high school or below,798343,36014,69,3,Special Auto,four-door car,173
NW21079,washington,f,master,487938,67163,61,2,Personal Auto,two-door car,33
FR46645,california,f,bachelor,429399,16701,113,0,Personal Auto,four-door car,831
SY17488,arizona,f,college,716439,46623,91,0,Corporate Auto,four-door car,436
AP67935,california,f,college,761951,64749,64,0,Special Auto,four-door car,302
FS37417,arizona,f,high school or below,395800,0,101,0,Personal Auto,suv,484
ML29312,oregon,f,high school or below,449949,16969,124,2,Personal Auto,suv,704
UB61619,oregon,f,master,405956,11621,108,0,Personal Auto,four-door car,518
CD86811,arizona,f,bachelor,445811,17622,65,1,Personal Auto,four-door car,312
RU83859,california,f,bachelor,811033,11489,105,0,Personal Auto,two-door car,504
FG63582,oregon,f,bachelor,333976,0,94,0,Personal Auto,two-door car,863
NN71951,california,f,high school or below,2426101,66525,100,0,Personal Auto,suv,104
WB37082,arizona,f,bachelor,661397,0,63,0,Personal Auto,four-door car,676
SM52139,washington,f,college,293069,33663,73,0,Personal Auto,four-door car,350
FL82372,oregon,f,college,867219,22547,112,0,Corporate Auto,suv,537
DP45816,arizona,f,high school or below,1163866,61486,97,0,Personal Auto,two-door car,465
GW33762,oregon,f,bachelor,684615,0,95,0,Personal Auto,two-door car,456
RZ33670,california,f,college,1172777,29879,102,0,Personal Auto,four-door car,500
PY70169,oregon,f,high school or below,2264383,93011,113,0,Personal Auto,suv,281
MO91628,oregon,f,master,261447,65186,65,0,Personal Auto,two-door car,5
HW87852,oregon,f,master,245175,26840,64,2,Personal Auto,four-door car,307
HB20453,oregon,f,bachelor,678127,0,104,1,Personal Auto,luxury,982
BN87372,oregon,f,bachelor,497480,75644,65,3,Personal Auto,two-door car,467
YX23800,oregon,f,bachelor,859160,38984,73,0,Personal Auto,four-door car,350
DZ87709,oregon,f,high school or below,559216,71811,71,0,Personal Auto,four-door car,29
XW13033,nevada,f,college,800947,20961,67,0,Personal Auto,four-door car,321
SP81997,washington,f,master,588174,41275,96,0,Personal Auto,four-door car,41
OM82309,california,f,bachelor,5816655,61321,186,1,Personal Auto,luxury,427
ZU35962,california,f,college,802522,0,77,0,Personal Auto,two-door car,25
VH85817,california,f,high school or below,578018,51066,74,0,Personal Auto,four-door car,787
DT85712,california,f,doctor,411853,34378,102,0,Personal Auto,suv,489
YJ88573,nevada,f,master,252307,43072,63,0,Personal Auto,four-door car,302
SQ19467,oregon,f,college,655421,25222,90,0,Personal Auto,four-door car,475
YB66933,washington,f,bachelor,538275,77552,68,1,Corporate Auto,four-door car,45
ET79815,california,f,college,592672,23091,96,5,Personal Auto,four-door car,460
QC35222,california,f,bachelor,268347,48269,69,3,Corporate Auto,four-door car,282
CJ15590,oregon,f,bachelor,269518,32720,67,0,Personal Auto,four-door car,321
OI48267,california,f,college,604702,20396,76,1,Personal Auto,four-door car,364
JY67916,oregon,f,college,1317101,21513,119,1,Personal Auto,two-door car,679
OW15518,washington,f,college,1595001,0,87,1,Personal Auto,two-door car,46
CZ33664,oregon,f,bachelor,252765,80744,63,0,Corporate Auto,four-door car,11
WK30175,oregon,f,bachelor,267209,52822,67,0,Corporate Auto,two-door car,350
ON44465,california,f,high school or below,531329,0,77,1,Personal Auto,four-door car,863
TV87155,oregon,f,bachelor,2094619,69738,74,1,Personal Auto,four-door car,492
KH48895,arizona,f,master,837535,17780,109,0,Personal Auto,suv,132
NZ30757,california,f,bachelor,480166,18107,62,0,Personal Auto,four-door car,297
RI22468,arizona,f,bachelor,574594,57740,74,3,Personal Auto,four-door car,269
FZ30935,oregon,f,college,606611,32627,76,0,Personal Auto,two-door car,380
UG93476,california,f,college,800230,0,107,0,Personal Auto,suv,513
AB96670,california,f,college,239391,0,70,0,Personal Auto,four-door car,425
XK64261,oregon,f,bachelor,476281,65795,62,1,Corporate Auto,two-door car,49
EV68375,california,f,college,433038,60475,107,0,Personal Auto,four-door car,513
UN51653,california,f,high school or below,940272,0,130,0,Personal Auto,suv,936
TO96662,oregon,f,bachelor,696669,41837,88,0,Personal Auto,four-door car,142
MR52087,california,f,bachelor,769406,32303,65,0,Personal Auto,four-door car,45
DE75225,oregon,f,high school or below,871756,0,117,1,Personal Auto,suv,561
EP80820,california,f,bachelor,592874,40531,74,0,Personal Auto,two-door car,30
GU99037,oregon,f,college,245297,79898,62,1,Corporate Auto,four-door car,271
WI57118,california,f,college,670157,56398,85,0,Personal Auto,four-door car,408
GP39118,washington,m,high school or below,499655,71600,63,0,Personal Auto,two-door car,46
MQ14219,arizona,f,college,849269,27804,109,0,Personal Auto,suv,784
KN20603,oregon,f,bachelor,771349,45506,66,2,Personal Auto,four-door car,316
SG20925,washington,f,master,518579,99428,6464,1,Personal Auto,four-door car,48
JI70886,california,f,high school or below,729006,0,102,1,Corporate Auto,suv,489
VF72557,oregon,f,high school or below,477294,20993,133,0,Personal Auto,suv,638
OX28638,arizona,f,high school or below,680649,37839,86,0,Personal Auto,two-door car,465
SK55033,california,f,bachelor,246978,92711,62,0,Personal Auto,two-door car,368
OO88645,california,f,college,310392,74665,78,2,Corporate Auto,four-door car,236
FM14335,washington,f,college,1048491,61108,89,0,Personal Auto,four-door car,49
CW82151,california,f,bachelor,890273,46833,112,0,Personal Auto,luxury,64
DY22043,oregon,f,high school or below,549944,88768,68,0,Personal Auto,two-door car,326
SH36774,california,f,high school or below,1502359,28262,192,0,Personal Auto,luxury suv,921
EM43724,nevada,f,bachelor,250910,33555,63,0,Personal Auto,four-door car,101
FH85960,oregon,f,college,3122174,42780,113,1,Personal Auto,four-door car,542
XA55993,oregon,f,master,313350,58850,78,0,Personal Auto,four-door car,143
GO36627,arizona,f,college,383745,21880,97,0,Special Auto,four-door car,424
QH48047,oregon,f,college,1179049,25251,66,0,Personal Auto,four-door car,316
HS28694,washington,f,high school or below,282986,25317,71,0,Personal Auto,two-door car,50
UH65059,arizona,f,high school or below,430580,24188,109,0,Personal Auto,luxury,523
FV21968,nevada,f,bachelor,597397,41611,74,0,Special Auto,four-door car,113
QA87025,oregon,f,bachelor,567044,28406,72,1,Personal Auto,four-door car,192
TQ13499,arizona,f,college,473174,69833,118,0,Personal Auto,four-door car,828
BU44523,arizona,f,high school or below,802637,0,74,0,Corporate Auto,four-door car,532
MS41162,arizona,f,high school or below,402296,0,117,0,Personal Auto,suv,975
PU25891,oregon,f,high school or below,961831,80536,119,0,Special Auto,luxury,53
LH92841,washington,f,bachelor,725595,88891,89,0,Personal Auto,four-door car,50
SX26335,oregon,f,college,955292,97732,79,0,Personal Auto,four-door car,289
AZ95587,arizona,f,bachelor,1038855,61222,89,0,Special Auto,four-door car,392
DS81757,oregon,m,college,247012,0,74,0,Personal Auto,two-door car,721
OJ94107,arizona,m,master,561906,50335,140,0,Personal Auto,suv,456
LP84436,california,f,high school or below,904711,0,127,0,Personal Auto,luxury,1087
FF22360,washington,f,doctor,268731,82210,68,4,Personal Auto,four-door car,51
LM19287,oregon,f,high school or below,373150,0,96,0,Personal Auto,four-door car,460
ZU18643,nevada,m,bachelor,366077,64495,92,0,Corporate Auto,four-door car,251
AZ82578,california,f,college,792882,0,72,0,Corporate Auto,four-door car,345
XC67861,arizona,f,bachelor,501175,28859,67,3,Corporate Auto,two-door car,321
YC43143,arizona,f,high school or below,798825,77330,99,0,Personal Auto,four-door car,99
EK59571,oregon,m,college,388545,0,105,0,Corporate Auto,four-door car,504
PA38372,washington,f,high school or below,935773,33060,117,0,Personal Auto,four-door car,56
RO18530,washington,m,master,254068,42557,65,0,Personal Auto,four-door car,57
PD27940,arizona,m,high school or below,488516,26372,126,0,Personal Auto,suv,604
BS77946,arizona,f,bachelor,975330,17514,127,0,Personal Auto,suv,8
YM50253,california,f,bachelor,294615,89270,74,0,Personal Auto,four-door car,316
NR15332,california,m,high school or below,258111,29757,65,0,Personal Auto,four-door car,312
RC62865,oregon,m,college,351738,51814,92,0,Personal Auto,four-door car,56
CC15295,oregon,f,bachelor,974335,24028,82,0,Personal Auto,four-door car,393
KA61892,arizona,m,college,387364,28142,105,0,Personal Auto,luxury,701
OS94884,arizona,f,bachelor,764928,52705,64,1,Personal Auto,two-door car,128
ND87334,california,m,high school or below,228759,0,63,0,Corporate Auto,two-door car,679
OY51402,washington,f,high school or below,825576,54040,103,0,Personal Auto,suv,59
YL74911,california,f,college,871492,0,118,0,Personal Auto,suv,566
GK92563,washington,f,doctor,681923,22492,85,0,Personal Auto,two-door car,61
HL53154,california,m,bachelor,741619,0,77,2,Personal Auto,four-door car,554
RI78966,oregon,m,master,777115,21876,68,0,Personal Auto,four-door car,465
IC13702,california,f,bachelor,696834,0,69,1,Personal Auto,four-door car,496
BE10809,california,f,high school or below,425028,0,61,1,Personal Auto,four-door car,292
HT87217,oregon,f,high school or below,1977656,70699,82,0,Personal Auto,four-door car,256
TH95618,california,f,high school or below,2134346,0,74,1,Personal Auto,four-door car,355
TS19868,california,m,college,241313,27501,63,0,Personal Auto,four-door car,542
LP45550,oregon,f,doctor,1536384,15897,101,0,Personal Auto,four-door car,303
QR87004,nevada,f,college,845696,25141,73,1,Personal Auto,four-door car,25
OE75747,nevada,f,college,218964,0,61,3,Personal Auto,four-door car,292
DX91392,california,m,high school or below,578018,51066,74,0,Personal Auto,four-door car,787
AB72731,california,f,bachelor,463998,28358,117,0,Personal Auto,luxury,84
GX84338,washington,f,doctor,382443,62530,95,0,Personal Auto,four-door car,61
IS12901,arizona,f,bachelor,596811,90972,74,0,Personal Auto,two-door car,232
BN90616,washington,f,bachelor,859033,63110,72,0,Personal Auto,four-door car,68
HH90090,california,f,bachelor,407663,29549,104,0,Personal Auto,luxury,710
IU25463,california,f,bachelor,1225260,0,115,1,Personal Auto,four-door car,552
KC11055,nevada,f,bachelor,1693627,39411,217,2,Personal Auto,luxury,1122
PD33979,oregon,m,high school or below,489243,21709,62,0,Personal Auto,four-door car,408
NK71023,nevada,m,bachelor,994230,67890,85,0,Personal Auto,four-door car,408
AB13432,california,m,bachelor,373583,0,110,0,Personal Auto,suv,792
OZ97704,california,f,high school or below,1311752,84311,111,4,Personal Auto,suv,532
UF46533,california,f,college,457452,99316,114,0,Corporate Auto,suv,754
XP47431,arizona,f,bachelor,547006,54507,138,0,Personal Auto,suv,702
GK73582,california,f,bachelor,297884,64586,76,0,Personal Auto,four-door car,206
RV98763,oregon,m,college,641096,61709,82,2,Personal Auto,four-door car,275
II62831,california,m,master,447902,94656,111,1,Special Auto,suv,459
XK33449,california,f,high school or below,238373,0,69,0,Special Auto,two-door car,496
TR85083,california,m,bachelor,276449,61085,70,1,Personal Auto,two-door car,336
EO95328,oregon,f,bachelor,792010,89284,67,3,Personal Auto,two-door car,321
EN21086,arizona,f,high school or below,688909,0,63,0,Personal Auto,four-door car,302
YL83902,washington,f,bachelor,327419,31686,81,0,Personal Auto,four-door car,430
AZ62651,oregon,m,high school or below,995170,56855,255,0,Corporate Auto,luxury suv,1836
ZW25874,oregon,m,bachelor,252155,53703,67,2,Special Auto,four-door car,67
EH41854,washington,f,high school or below,2370611,0,96,1,Personal Auto,two-door car,844
MW70227,california,m,college,604702,20396,76,1,Personal Auto,four-door car,364
SL22297,california,f,master,1114030,27679,150,0,Personal Auto,suv,722
RV14138,nevada,f,bachelor,433406,23904,123,3,Personal Auto,suv,590
UO62808,arizona,f,high school or below,279974,65351,69,0,Corporate Auto,four-door car,481
ZX64745,california,m,college,792313,0,113,0,Personal Auto,suv,1124
FL34139,california,m,high school or below,368811,0,63,3,Personal Auto,four-door car,669
TS11219,california,m,college,1206745,0,116,0,Personal Auto,suv,1284
XX12304,california,f,college,292497,64459,72,0,Personal Auto,four-door car,240
SD64087,california,m,college,1501409,32961,190,0,Corporate Auto,suv,912
OY38576,oregon,f,high school or below,927723,71416,116,0,Corporate Auto,suv,556
BG76355,washington,f,bachelor,627412,68964,78,0,Personal Auto,four-door car,115
IP66913,cali,m,high school or below,388664,78108,98,0,Personal Auto,two-door car,470
LE95702,cali,m,college,438627,10621,67,0,Special Auto,four-door car,321
KX54357,washington,m,college,1136526,84910,95,0,Corporate Auto,two-door car,383
EZ78112,cali,f,high school or below,561096,77493,70,0,Special Auto,four-door car,307
XN16891,arizona,m,college,291289,81097,74,0,Personal Auto,four-door car,355
XK31350,oregon,f,college,691572,96610,85,0,Corporate Auto,four-door car,520
CC30924,oregon,m,college,626266,30110,159,0,Corporate Auto,luxury,466
IT78748,oregon,f,high school or below,650339,22081,84,0,Special Auto,two-door car,451
KY33386,washington,f,high school or below,800739,0,112,0,Personal Auto,luxury,537
CO44221,cali,m,college,292991,98473,72,0,Personal Auto,four-door car,345
LK60013,oregon,f,bachelor,596955,97431,74,0,Personal Auto,four-door car,355
DE21533,cali,m,bachelor,547315,93870,69,0,Personal Auto,four-door car,331
YS94121,nevada,m,high school or below,564539,50366,72,0,Personal Auto,four-door car,428
UK68427,washington,m,high school or below,636926,34498,83,0,Personal Auto,two-door car,398
TE49565,oregon,f,college,1183376,16552,103,0,Personal Auto,suv,494
RA88421,oregon,f,college,612110,26787,77,0,Personal Auto,four-door car,369
KQ51983,nevada,m,college,515936,0,74,0,Personal Auto,two-door car,831
CD88896,nevada,f,high school or below,251459,43860,65,0,Corporate Auto,four-door car,156
YV22553,arizona,m,high school or below,866861,21474,114,2,Corporate Auto,suv,373
WU14435,cali,m,bachelor,496096,18174,66,0,Corporate Auto,four-door car,395
XV84099,arizona,f,bachelor,550413,0,73,0,Corporate Auto,four-door car,350
RI24911,arizona,m,college,750745,60920,64,0,Personal Auto,two-door car,231
KO26461,arizona,m,high school or below,3226985,41520,90,0,Personal Auto,four-door car,289
HI14283,oregon,f,bachelor,565703,0,152,0,Personal Auto,suv,729
PT50227,arizona,m,high school or below,506175,0,68,0,Personal Auto,two-door car,326
BH36570,cali,m,bachelor,591278,72208,73,0,Personal Auto,two-door car,350
TX17484,cali,f,bachelor,1518227,53863,63,0,Personal Auto,four-door car,105
CT41158,washington,m,college,1074703,66446,136,0,Corporate Auto,suv,639
AO87348,washington,m,college,205062,0,61,0,Personal Auto,four-door car,292
DE55857,washington,f,bachelor,246544,64997,63,1,Personal Auto,four-door car,383
LF66923,nevada,f,high school or below,534312,64460,66,0,Corporate Auto,two-door car,316
CN24514,arizona,f,college,811982,46618,67,0,Personal Auto,four-door car,99
UW32074,oregon,f,college,460526,0,64,0,Corporate Auto,four-door car,307
HP36979,cali,m,college,640878,49988,84,5,Personal Auto,two-door car,566
PP40919,cali,f,college,237653,0,91,5,Personal Auto,two-door car,436
RO73268,cali,m,bachelor,321107,16269,86,0,Corporate Auto,two-door car,412
HO61691,arizona,f,bachelor,509452,72006,64,0,Personal Auto,four-door car,307
BS13062,arizona,f,high school or below,2575527,0,81,2,Personal Auto,four-door car,388
FO35655,oregon,m,bachelor,867222,0,245,0,Corporate Auto,luxury suv,2345
HR10526,cali,m,master,804473,44320,67,0,Personal Auto,four-door car,321
IA63417,arizona,f,high school or below,400151,19782,108,0,Personal Auto,two-door car,773
BH35016,nevada,f,bachelor,1670611,63933,70,0,Personal Auto,two-door car,424
PK52952,arizona,m,doctor,854441,28224,109,0,Personal Auto,suv,523
OD76309,washington,f,college,780531,21073,106,1,Personal Auto,suv,508
IL28481,oregon,m,bachelor,611275,63243,77,0,Personal Auto,four-door car,364
GY55092,nevada,m,high school or below,477294,20993,133,0,Personal Auto,suv,638
UF33451,oregon,f,bachelor,1097909,94827,135,0,Personal Auto,suv,354
CF15558,cali,f,master,500426,39161,63,1,Personal Auto,two-door car,283
JM62924,washington,m,bachelor,1322304,37534,84,2,Personal Auto,four-door car,403
EM66435,oregon,f,bachelor,262331,80210,65,0,Corporate Auto,four-door car,20
QX45933,cali,m,bachelor,1784019,0,62,0,Personal Auto,four-door car,385
JI71369,cali,f,college,510611,30110,64,0,Personal Auto,four-door car,140
JU93290,arizona,f,college,1793060,21708,68,0,Personal Auto,four-door car,326
GU66096,arizona,m,high school or below,545734,94731,67,0,Personal Auto,four-door car,321
UC33108,cali,m,bachelor,656364,32375,83,0,Personal Auto,four-door car,398
LW93867,oregon,m,college,481252,16531,63,0,Corporate Auto,four-door car,102
OU78470,arizona,f,master,2932804,32006,94,0,Corporate Auto,four-door car,56
XW90265,arizona,f,bachelor,577352,81676,72,0,Personal Auto,two-door car,463
HS67749,cali,m,college,684711,71038,86,0,Corporate Auto,four-door car,205
VZ51506,arizona,f,high school or below,359531,0,103,0,Corporate Auto,luxury,741
UI64281,nevada,f,master,2285561,20832,65,0,Personal Auto,two-door car,56
AE98193,washington,m,high school or below,785941,0,113,0,Personal Auto,suv,813
AZ74055,oregon,m,high school or below,411557,52405,103,0,Personal Auto,four-door car,494
XS76911,arizona,f,high school or below,502963,0,133,0,Personal Auto,luxury,795
AY40674,washington,f,bachelor,482141,26583,1005,4,Personal Auto,suv,614
NA12740,oregon,m,master,500431,25486,65,0,Special Auto,two-door car,72
UA84837,arizona,m,college,863005,24065,111,0,Corporate Auto,four-door car,532
DJ51510,arizona,f,high school or below,932208,70435,116,0,Personal Auto,four-door car,67
VM58985,cali,m,college,1672756,0,76,2,Personal Auto,two-door car,402
OH60605,oregon,f,high school or below,365253,39679,92,0,Personal Auto,two-door car,641
UO98052,nevada,m,college,615860,0,89,0,Personal Auto,four-door car,342
NC53424,cali,m,bachelor,437608,0,69,4,Personal Auto,two-door car,331
LQ13873,nevada,m,high school or below,556945,53565,71,1,Personal Auto,four-door car,340
LA97014,washington,m,bachelor,257651,37574,66,1,Personal Auto,two-door car,412
NB79936,washington,m,bachelor,834698,48259,108,0,Personal Auto,two-door car,73
NT89061,arizona,f,high school or below,632392,78532,78,0,Personal Auto,four-door car,374
AF10970,arizona,f,bachelor,597314,96163,73,0,Corporate Auto,four-door car,350
ZG48513,cali,m,bachelor,470667,0,72,0,Personal Auto,four-door car,345
JQ59145,cali,m,high school or below,809341,0,114,1,Personal Auto,luxury,722
FE84989,washington,m,college,503574,72672,63,0,Personal Auto,four-door car,259
JT52858,oregon,f,bachelor,902786,99002,112,1,Personal Auto,four-door car,537
MC62068,california,m,high school or below,728888,79494,91,0,Personal Auto,four-door car,396
EU27538,oregon,m,master,1804247,35704,225,0,Personal Auto,luxury,358
RH42306,arizona,f,bachelor,499206,0,71,0,Corporate Auto,four-door car,653
US23612,oregon,f,high school or below,910226,26049,118,0,Personal Auto,two-door car,121
WV76014,arizona,m,doctor,254040,70125,64,0,Special Auto,four-door car,92
RK96223,california,m,college,1294189,52369,110,1,Personal Auto,suv,528
MF82000,washington,f,bachelor,236534,0,66,2,Special Auto,four-door car,159
FM46980,arizona,m,college,572076,41770,72,0,Personal Auto,four-door car,476
SY56792,oregon,m,high school or below,703553,0,101,0,Corporate Auto,four-door car,727
RF61565,california,m,college,263697,31911,67,0,Personal Auto,four-door car,321
IM94808,nevada,m,bachelor,539583,70051,68,0,Corporate Auto,four-door car,42
VI14730,oregon,m,high school or below,838263,19683,117,1,Personal Auto,luxury,561
YR34119,washington,f,college,3116174,30916,112,0,Personal Auto,suv,200
RR77985,oregon,f,bachelor,288774,0,80,0,Personal Auto,four-door car,676
QD28391,washington,m,college,742584,84302,62,0,Personal Auto,four-door car,76
WV17090,california,m,bachelor,2558572,0,116,0,Corporate Auto,suv,830
TM23514,oregon,m,college,1027260,60145,132,0,Personal Auto,suv,580
MQ68407,oregon,f,bachelor,437636,63774,111,0,Personal Auto,four-door car,60
GJ59592,california,f,bachelor,531889,25134,67,0,Corporate Auto,four-door car,321
FY56083,oregon,m,bachelor,471976,37057,61,1,Personal Auto,four-door car,47
UA94723,oregon,f,high school or below,442803,58577,110,0,Personal Auto,suv,303
FW91032,california,m,high school or below,587917,85857,73,0,Corporate Auto,four-door car,100
DE34457,oregon,f,doctor,941690,70602,116,0,Personal Auto,suv,481
HD32044,oregon,f,master,828815,33816,106,2,Corporate Auto,four-door car,508
HH30454,oregon,m,bachelor,3265483,0,153,0,Personal Auto,suv,1101
AH84063,oregon,f,college,471945,89642,121,4,Corporate Auto,suv,86
QA17596,california,f,bachelor,390347,60068,98,0,Personal Auto,two-door car,470
XI41052,california,f,bachelor,545725,50044,139,0,Personal Auto,suv,667
DI30528,california,f,master,272535,36650,69,1,Personal Auto,four-door car,56
SC66359,arizona,f,college,443397,50653,110,0,Corporate Auto,suv,262
EN61670,arizona,f,doctor,533246,68931,66,0,Personal Auto,four-door car,309
DQ10761,oregon,m,bachelor,231509,0,73,1,Corporate Auto,four-door car,350
BQ51587,california,f,college,541195,0,73,0,Personal Auto,four-door car,365
JE21522,california,m,bachelor,958733,39266,80,0,Personal Auto,four-door car,384
WS47147,california,m,college,2210350,0,102,0,Personal Auto,suv,489
ZA64638,nevada,f,high school or below,976494,0,98,1,Personal Auto,four-door car,705
EW38459,nevada,f,bachelor,256715,40864,65,0,Corporate Auto,four-door car,9
QW87316,oregon,f,college,265062,39035,68,0,Personal Auto,four-door car,244
IC43478,california,m,bachelor,1126436,34923,98,0,Personal Auto,two-door car,639
TE34064,california,m,high school or below,216852,0,63,0,Personal Auto,four-door car,453
WU60905,california,f,high school or below,861066,0,111,0,Corporate Auto,suv,532
YM18992,california,f,college,283464,24506,71,0,Personal Auto,two-door car,511
PD55753,oregon,m,high school or below,893013,0,82,0,Personal Auto,four-door car,554
KU56006,arizona,f,college,553638,52220,70,1,Personal Auto,four-door car,336
MJ69973,arizona,m,high school or below,284085,0,74,0,Personal Auto,two-door car,402
TW43626,california,m,college,808288,53554,67,0,Personal Auto,four-door car,327
XX84133,california,m,bachelor,525473,34476,67,1,Corporate Auto,four-door car,5
ZW84453,arizona,f,bachelor,511623,0,70,0,Personal Auto,four-door car,131
HO29524,california,m,college,303464,68205,76,0,Personal Auto,two-door car,99
VE89726,california,f,high school or below,802489,0,119,1,Personal Auto,suv,856
GE87503,california,m,high school or below,1821114,53690,154,0,Personal Auto,suv,739
PX90263,oregon,m,high school or below,512156,0,72,0,Personal Auto,four-door car,518
NI17718,california,f,high school or below,215017,0,61,0,Personal Auto,four-door car,292
FY32213,california,f,high school or below,559538,74454,71,0,Personal Auto,four-door car,340
RZ13254,nevada,f,bachelor,756282,0,73,0,Personal Auto,four-door car,350
GN45013,oregon,m,high school or below,538585,29664,71,0,Personal Auto,four-door car,340
NM39588,washington,f,doctor,267805,72450,66,0,Corporate Auto,four-door car,84
KU84464,nevada,f,bachelor,942256,47272,79,3,Personal Auto,four-door car,64
YH43527,oregon,f,college,360586,21585,92,0,Corporate Auto,four-door car,441
RO30676,california,f,college,776259,23827,106,2,Personal Auto,four-door car,37
QL59704,arizona,f,college,2344490,69906,74,2,Corporate Auto,four-door car,202
QH19450,california,f,high school or below,255817,0,72,0,Corporate Auto,four-door car,345
SA54664,washington,m,master,265438,73196,66,1,Personal Auto,four-door car,85
CI38330,washington,m,bachelor,254978,72217,6464,0,Personal Auto,four-door car,91
WB38524,california,m,high school or below,296959,46131,74,0,Personal Auto,two-door car,355
CE56187,oregon,f,master,436312,54514,109,3,Personal Auto,suv,286
JL19416,california,f,high school or below,588430,0,161,0,Personal Auto,suv,1159
JZ61422,nevada,f,college,527219,96668,66,0,Personal Auto,four-door car,316
LA13377,california,m,doctor,550989,78879,69,1,Personal Auto,four-door car,466
NC99948,nevada,m,college,1631368,0,69,0,Personal Auto,four-door car,331
QD34785,arizona,f,bachelor,567805,0,76,0,Personal Auto,four-door car,364
RO26085,california,f,bachelor,1210120,0,112,0,Personal Auto,luxury,1252
ES57969,oregon,m,bachelor,245357,29735,69,0,Personal Auto,four-door car,331
JK55587,california,m,high school or below,507566,23082,65,0,Special Auto,four-door car,312
